cell_line,reported_sex,DDX3Y_expression,DDX3Y_expression_category,EIF1AY_expression,EIF1AY_expression_category,KDM5D_expression,KDM5D_expression_category,NLGN4Y_expression,NLGN4Y_expression_category,RPS4Y1_expression,RPS4Y1_expression_category,TMSB4Y_expression,TMSB4Y_expression_category,USP9Y_expression,USP9Y_expression_category,UTY_expression,UTY_expression_category,ZFY_expression,ZFY_expression_category
X22RV1_PROSTATE,NA,17478,high_expression,4971,high_expression,9959,high_expression,1309,intermediate_expression,36161,high_expression,430,high_expression,7924,high_expression,2413,high_expression,3521,high_expression
X2313287_STOMACH,NA,10794,high_expression,2984,high_expression,7327,high_expression,3,low_expression,19405,high_expression,2,low_expression,6460,high_expression,2007,high_expression,1688,high_expression
X253JBV_URINARY_TRACT,NA,10,low_expression,6,low_expression,2,low_expression,0,low_expression,53,low_expression,0,low_expression,6,low_expression,4,low_expression,1,low_expression
X253J_URINARY_TRACT,NA,13,low_expression,7,low_expression,8,low_expression,3,low_expression,45,low_expression,0,low_expression,6,low_expression,2,low_expression,4,low_expression
X42MGBA_CENTRAL_NERVOUS_SYSTEM,NA,20,low_expression,1,low_expression,10,low_expression,2,low_expression,40,low_expression,0,low_expression,3,low_expression,0,low_expression,0,low_expression
X5637_URINARY_TRACT,NA,2424,high_expression,2225,high_expression,1787,high_expression,667,intermediate_expression,16073,high_expression,1615,high_expression,2446,high_expression,981,high_expression,932,high_expression
X59M_OVARY,NA,20,low_expression,3,low_expression,2,low_expression,0,low_expression,47,low_expression,1,low_expression,9,low_expression,4,low_expression,5,low_expression
X639V_URINARY_TRACT,NA,25,low_expression,5,low_expression,3,low_expression,2,low_expression,46,low_expression,0,low_expression,1,low_expression,1,low_expression,8,low_expression
X647V_URINARY_TRACT,NA,8263,high_expression,127,intermediate_expression,4648,high_expression,869,intermediate_expression,65265,high_expression,1938,high_expression,5347,high_expression,3192,high_expression,2528,high_expression
X697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,8105,high_expression,5836,high_expression,12353,high_expression,2016,high_expression,68166,high_expression,507,high_expression,3326,high_expression,3205,high_expression,3004,high_expression
X769P_KIDNEY,NA,16,low_expression,3,low_expression,13,low_expression,0,low_expression,52,low_expression,0,low_expression,8,low_expression,4,low_expression,0,low_expression
X786O_KIDNEY,NA,22972,high_expression,6492,high_expression,4136,high_expression,1477,high_expression,44503,high_expression,57,intermediate_expression,6196,high_expression,2703,high_expression,2911,high_expression
X8305C_THYROID,NA,19,low_expression,4,low_expression,6,low_expression,2,low_expression,53,low_expression,0,low_expression,4,low_expression,6,low_expression,3,low_expression
X8505C_THYROID,NA,20,low_expression,8,low_expression,10,low_expression,8,low_expression,42,low_expression,0,low_expression,4,low_expression,2,low_expression,8,low_expression
X8MGBA_CENTRAL_NERVOUS_SYSTEM,NA,16,low_expression,8,low_expression,7,low_expression,14,low_expression,36,low_expression,3,low_expression,5,low_expression,0,low_expression,4,low_expression
A101D_SKIN,male,22,low_expression,8,low_expression,4,low_expression,266,intermediate_expression,73,low_expression,0,low_expression,12,low_expression,0,low_expression,6,low_expression
A1207_CENTRAL_NERVOUS_SYSTEM,female,11,low_expression,4,low_expression,7,low_expression,2,low_expression,27,low_expression,0,low_expression,7,low_expression,2,low_expression,0,low_expression
A172_CENTRAL_NERVOUS_SYSTEM,male,15374,high_expression,4977,high_expression,5736,high_expression,4968,high_expression,29466,high_expression,168,high_expression,6374,high_expression,2131,high_expression,2506,high_expression
A204_SOFT_TISSUE,female,24,low_expression,11,low_expression,20,low_expression,4,low_expression,87,low_expression,0,low_expression,12,low_expression,8,low_expression,5,low_expression
A2058_SKIN,male,19425,high_expression,4679,high_expression,5592,high_expression,1997,high_expression,44513,high_expression,53,intermediate_expression,3244,high_expression,1570,high_expression,2287,high_expression
A253_SALIVARY_GLAND,male,25,low_expression,0,low_expression,1,low_expression,0,low_expression,49,low_expression,0,low_expression,4,low_expression,3,low_expression,2,low_expression
